domain,alpha,beta,a,b,alpha_R2,alpha_rmse,beta_R2,beta_rmse,HSE,k
D01,2.1572,0.6012,0.3861,2.4172,0.7948,0.6186,0.6737,0.2475,2.1698,0.1374
D02,2.271,0.6878,0.3844,1.8789,0.8567,0.6814,0.8163,0.2526,1.6368,0.4157
D03,2.41,0.5978,0.1554,1.9862,0.7237,1.0622,0.6068,0.3779,1.9355,0.6481
D04,3.4556,0.3366,0.0487,2.5282,0.553,1.2323,0.3851,0.2721,3.4865,0.0829
D05,2.4488,0.6189,0.1375,2.3758,0.8349,0.6954,0.7739,0.2372,1.7829,0.4439
D06,2.8204,0.5321,0.1342,2.0938,0.8734,0.7112,0.6918,0.3004,1.9383,0.4634
D07,2.3704,0.631,0.2226,2.2403,0.8375,0.75,0.8015,0.2866,1.799,0.3486
D08,2.6336,0.636,0.1501,2.1019,0.8372,0.8452,0.7857,0.2568,1.5109,0.6445
D09,,,,,,,,,1.56,
D10,1.8393,0.5969,0.2969,1.6349,0.5313,0.8107,0.597,0.2815,2.5111,0.6488
D11,2.9187,0.5095,0.1542,1.6502,0.8263,0.6523,0.6997,0.249,2.0065,0.9081
D12,2.8231,0.5426,0.0492,1.9606,0.8793,0.7181,0.8643,0.2395,1.8628,1.7008
D13,2.229,0.7632,0.1119,0.91,0.738,0.7827,0.6317,0.3532,1.3917,11.4434
D14,,0.8936,,0.5258,,,0.4397,0.2172,1.56,
D15,2.3559,0.155,0.7807,2.3267,0.4221,0.7376,0.0872,0.2551,11.546,0.0
D16,2.1004,0.801,0.3335,1.3291,0.8866,0.6551,0.8748,0.2875,1.3965,1.4735
D17,2.2601,0.7142,0.2322,1.0253,0.754,1.0605,0.813,0.3402,1.5404,4.0151
D19,2.7256,0.6659,0.0487,1.4185,0.8095,0.7548,0.6888,0.2925,1.2777,7.1902
D20,2.7748,0.5558,0.0535,2.0948,0.737,1.1261,0.7135,0.3204,1.8238,1.3068
