domain,alpha,beta,a,b,alpha_R2,alpha_pval,beta_R2,beta_pval,HSE
D01,2.2529,0.6684,0.2941,1.9426,0.8507,0.0,0.8511,0.0,1.7394
D02,2.2898,0.6779,0.3637,1.9245,0.8637,0.0,0.9117,0.0,1.6605
D03,2.1601,0.6945,0.2718,1.4214,0.7379,0.0,0.6534,0.0,1.7197
D04,3.4471,0.3531,0.0488,2.4232,0.5582,0.0,0.5106,0.0,1.63
D05,2.4682,0.6332,0.1302,2.2676,0.8379,0.0,0.8523,0.0,1.6902
D06,2.8065,0.5706,0.1382,1.827,0.8751,0.0,0.7824,0.0,1.6987
D07,2.3715,0.6612,0.2218,2.0167,0.8424,0.0,0.8638,0.0,1.6532
D08,2.6293,0.6481,0.1524,2.0092,0.8465,0.0,0.8781,0.0,1.4565
D09,2.6293,0.6481,0.1524,2.0092,0.8465,0.0,0.8781,0.0,1.4
D10,1.842,0.6368,0.2951,1.4466,0.5332,0.0,0.7382,0.0,1.64
D11,2.8714,0.5037,0.1665,1.6619,0.8479,0.0,0.8002,0.0,2.0995
D12,2.8057,0.5405,0.0509,1.9685,0.8805,0.0,0.8839,0.0,1.8946
D13,2.2293,0.7366,0.1107,0.9696,0.7682,0.0,0.7332,0.0,1.4859
D14,2.2293,0.7366,0.1107,0.9696,0.7682,0.0,0.7332,0.0,1.63
D15,2.6712,0.2131,0.4856,1.9758,0.4674,0.0,0.2408,0.0,1.4
D16,2.1532,0.7264,0.2881,1.6187,0.8899,0.0,0.8753,0.0,1.6
D17,2.2558,0.6884,0.2354,1.0662,0.7653,0.0,0.8462,0.0,1.6495
D19,2.6941,0.6635,0.0513,1.3985,0.8359,0.0,0.7813,0.0,1.3201
D20,2.7748,0.559,0.0535,2.0775,0.737,0.0,0.7569,0.0,1.8029
